"id","name","country","founded","industry","no_of_employees","website","description","e_mail"
892,"Peck, Rogers and Conrad","Greece",1987,"Mechanical or Industrial Engineering",6458,"0",NULL,"no email"
893,"Novak PLC","Bouvet Island (Bouvetoya)",1973,"Non - Profit / Volunteering",5821,"0",NULL,"no email"
894,"Carter, Hodge and Franco","Christmas Island",2019,"Maritime",2191,"0",NULL,"no email"
895,"Waller-Mcfarland","Slovakia (Slovak Republic)",1982,"Plastics",2055,"0",NULL,"no email"
896,"Hayes, Saunders and Richards","Portugal",2021,"Medical Practice",2526,"0",NULL,"no email"
897,"Herring-Orr","Germany",2003,"Financial Services",8986,"0",NULL,"no email"
898,"Bridges Ltd","Tuvalu",1997,"International Trade / Development",1583,"0",NULL,"no email"
899,"Walsh-Shelton","Tunisia",2001,"Pharmaceuticals",9737,"0",NULL,"no email"
900,"George-Hamilton","Gambia",1980,"Medical Equipment",3399,"0",NULL,"no email"
901,"Hartman and Sons","Senegal",1987,"Industrial Automation",8987,"0",NULL,"no email"
902,"Chen PLC","Germany",2006,"Environmental Services",3547,"0",NULL,"no email"
903,"Wilkins and Sons","Switzerland",1994,"Information Services",8335,"0",NULL,"no email"
904,"Mckay Inc","Tajikistan",1974,"Non - Profit / Volunteering",4823,"0",NULL,"no email"
905,"Jennings-Drake","Cambodia",1977,"Leisure / Travel",1422,"0",NULL,"no email"
906,"Wolfe-Figueroa","United Arab Emirates",1999,"Law Practice / Law Firms",6709,"0",NULL,"no email"
907,"Grant LLC","Ireland",2012,"Warehousing",2368,"0",NULL,"no email"
908,"Ochoa-Vaughn","Kyrgyz Republic",2007,"Ranching",4342,"0",NULL,"no email"
909,"Rodgers LLC","Congo",1980,"Executive Office",1587,"0",NULL,"no email"
910,"Ford-Stanton","Falkland Islands (Malvinas)",2005,"Wholesale",1903,"0",NULL,"no email"
911,"Clements Group","Guinea",2017,"Outsourcing / Offshoring",1615,"0",NULL,"no email"
912,"Mann-Mason","Faroe Islands",2001,"Business Supplies / Equipment",2726,"0",NULL,"no email"
913,"Wilkins and Sons","Tokelau",1996,"Accounting",4615,"0",NULL,"no email"
914,"Becker-Mann","Congo",1973,"Farming",795,"0",NULL,"no email"
915,"Cortez-Gibson","Singapore",2006,"Furniture",7581,"0",NULL,"no email"
916,"Randolph, Trujillo and Frost","Finland",1987,"Online Publishing",4238,"0",NULL,"no email"
917,"Allison-Spears","Egypt",2008,"Broadcast Media",869,"0",NULL,"no email"
918,"Parks Group","Saint Vincent and the Grenadines",2011,"Insurance",7625,"0",NULL,"no email"
919,"Webster-Mclean","Saint Vincent and the Grenadines",1991,"Music",5392,"0",NULL,"no email"
920,"Rhodes Ltd","Tonga",2006,"Health / Fitness",3565,"0",NULL,"no email"
921,"Floyd, Novak and Cohen","Nicaragua",2001,"Philanthropy",8594,"0",NULL,"no email"
922,"Bennett PLC","Niue",2001,"Aviation / Aerospace",8909,"0",NULL,"no email"
923,"Macdonald Group","Antigua and Barbuda",2016,"Individual / Family Services",778,"0",NULL,"no email"
924,"Mcconnell, Hardin and Heath","Netherlands",1994,"Printing",5359,"0",NULL,"no email"
925,"Collins Group","Andorra",2002,"Alternative Dispute Resolution",6644,"0",NULL,"no email"
926,"Mccullough and Sons","Cook Islands",1985,"Publishing Industry",3634,"0",NULL,"no email"
927,"Farmer-Paul","Mongolia",2002,"Capital Markets / Hedge Fund / Private Equity",6681,"0",NULL,"no email"
928,"Murillo-Woods","Bolivia",1981,"Food / Beverages",7222,"0",NULL,"no email"
929,"Trevino Group","Benin",2012,"Renewables / Environment",3985,"0",NULL,"no email"
930,"Fitzgerald, Dunn and Edwards","Malta",2019,"Military Industry",4200,"0",NULL,"no email"
931,"Novak, Petty and Mcintyre","British Indian Ocean Territory (Chagos Archipelago)",1979,"Wireless",7809,"0",NULL,"no email"
932,"Oliver-Walter","Panama",1995,"Information Services",3910,"0",NULL,"no email"
933,"Silva-Ray","Haiti",2002,"Capital Markets / Hedge Fund / Private Equity",7913,"0",NULL,"no email"
934,"Riddle, Leach and Gould","Afghanistan",1991,"Ranching",3695,"0",NULL,"no email"
935,"Mckinney PLC","Guadeloupe",2001,"Hospital / Health Care",7846,"0",NULL,"no email"
936,"Hodges, Good and Kirby","Haiti",2012,"Computer Hardware",5703,"0",NULL,"no email"
937,"Kelley-Cantu","Zimbabwe",2018,"Library",5526,"0",NULL,"no email"
938,"Lozano-Brooks","Moldova",2016,"Gambling / Casinos",5730,"0",NULL,"no email"
939,"Hicks PLC","Saint Lucia",1979,"Security / Investigations",880,"0",NULL,"no email"
940,"Morse PLC","Timor-Leste",2017,"Supermarkets",9044,"0",NULL,"no email"
941,"Rush PLC","Saint Barthelemy",2009,"Government Relations",1141,"0",NULL,"no email"
942,"Barr, James and Gilbert","Cyprus",1989,"Paper / Forest Products",8147,"0",NULL,"no email"
943,"Miranda, Bell and Sanders","Liberia",1995,"Fine Art",895,"0",NULL,"no email"
944,"Coffey, Pope and Sims","Cuba",2013,"Pharmaceuticals",6139,"0",NULL,"no email"
945,"Montoya Group","Micronesia",1970,"Medical Equipment",6865,"0",NULL,"no email"
946,"Dominguez, Branch and Mcgee","New Caledonia",2000,"Railroad Manufacture",9858,"0",NULL,"no email"
947,"Fuentes Ltd","Bhutan",2019,"Industrial Automation",643,"0",NULL,"no email"
948,"Hansen, Chan and Molina","Benin",1994,"Translation / Localization",8534,"0",NULL,"no email"
949,"Willis-Skinner","Belize",2014,"Religious Institutions",2540,"0",NULL,"no email"
950,"Ballard and Sons","Nicaragua",1988,"Apparel / Fashion",8756,"0",NULL,"no email"
951,"Esparza LLC","Cook Islands",1994,"Telecommunications",2776,"0",NULL,"no email"
952,"Carson-Salas","Iceland",2021,"Furniture",2253,"0",NULL,"no email"
953,"Mckee-Bonilla","Bolivia",2013,"Leisure / Travel",157,"0",NULL,"no email"
954,"Espinoza LLC","Armenia",1979,"Law Practice / Law Firms",7668,"0",NULL,"no email"
955,"Olson-Curtis","Slovenia",1998,"Individual / Family Services",2529,"0",NULL,"no email"
956,"Landry Group","Burkina Faso",2019,"Chemicals",2273,"0",NULL,"no email"
957,"Logan-Chen","Burkina Faso",1996,"Industrial Automation",7532,"0",NULL,"no email"
958,"Gordon-Marshall","China",2019,"Accounting",5282,"0",NULL,"no email"
959,"Pollard and Sons","Gambia",1979,"Insurance",3098,"0",NULL,"no email"
960,"Bryan PLC","Gambia",1986,"Government Administration",8423,"0",NULL,"no email"
961,"Mckay and Sons","Venezuela",1987,"Government Administration",4906,"0",NULL,"no email"
962,"Dickerson, Dennis and Decker","San Marino",1990,"Oil / Energy / Solar / Greentech",1306,"0",NULL,"no email"
963,"Caldwell, Shaffer and Woods","British Virgin Islands",1974,"Health / Fitness",959,"0",NULL,"no email"
964,"Thomas, Hudson and Reyes","Montenegro",1984,"Museums / Institutions",5311,"0",NULL,"no email"
965,"Wheeler and Sons","South Africa",2011,"Health / Fitness",3958,"0",NULL,"no email"
966,"Sherman-Sutton","Kiribati",1972,"Electrical / Electronic Manufacturing",3488,"0",NULL,"no email"
967,"Avila-Garza","Austria",1987,"Computer Networking",4204,"0",NULL,"no email"
968,"Blackwell, Kidd and Shields","Bolivia",1971,"Higher Education / Acadamia",219,"0",NULL,"no email"
969,"Blanchard, Forbes and Mendez","Brunei Darussalam",1994,"Import / Export",5533,"0",NULL,"no email"
970,"Khan, Trevino and Armstrong","Uzbekistan",1985,"Legal Services",1559,"0",NULL,"no email"
971,"Sanford LLC","American Samoa",1980,"Computer Hardware",3512,"0",NULL,"no email"
972,"Norris Ltd","Rwanda",2006,"Glass / Ceramics / Concrete",3416,"0",NULL,"no email"
973,"Griffin and Sons","Australia",2000,"Other Industry",7640,"0",NULL,"no email"
974,"Lewis, Frank and Pittman","Central African Republic",1985,"Legislative Office",6628,"0",NULL,"no email"
975,"Oconnor Ltd","Norway",2019,"Outsourcing / Offshoring",9774,"0",NULL,"no email"
976,"Hanna-Richardson","Nicaragua",1975,"Sporting Goods",8738,"0",NULL,"no email"
977,"Mcclain-Wilcox","Cameroon",1981,"Pharmaceuticals",1740,"0",NULL,"no email"
978,"Cunningham and Sons","Turks and Caicos Islands",1991,"Import / Export",2190,"0",NULL,"no email"
979,"Pearson-Fletcher","Bolivia",1987,"Consumer Services",7374,"0",NULL,"no email"
980,"Potter, Murillo and Garza","Algeria",1977,"Music",1552,"0",NULL,"no email"
981,"Duffy and Sons","Burkina Faso",2011,"Insurance",5250,"0",NULL,"no email"
982,"Harvey-Horton","Austria",2007,"Pharmaceuticals",3787,"0",NULL,"no email"
983,"Finley-Lee","Mexico",1985,"Utilities",6652,"0",NULL,"no email"
984,"Morse and Sons","Serbia",1975,"Gambling / Casinos",1580,"0",NULL,"no email"
985,"Johns-Pham","Tunisia",2009,"Oil / Energy / Solar / Greentech",4644,"0",NULL,"no email"
986,"Tucker, Rocha and Bonilla","Anguilla",2016,"Library",8125,"0",NULL,"no email"
987,"Mullins, Castaneda and Bernard","Argentina",1998,"Research Industry",8861,"0",NULL,"no email"
988,"Alexander PLC","Barbados",1999,"Financial Services",3866,"0",NULL,"no email"
989,"Bass, Mcintosh and Harrison","Jordan",1983,"Insurance",2712,"0",NULL,"no email"
990,"Tanner, Lambert and Strickland","Botswana",1985,"Recreational Facilities / Services",5597,"0",NULL,"no email"
991,"Nixon LLC","Tanzania",2019,"Writing / Editing",7940,"0",NULL,"no email"
992,"Vega, Miller and Calderon","Cambodia",2012,"Professional Training",8250,"0",NULL,"no email"
993,"Howe and Sons","Cocos (Keeling) Islands",2007,"Logistics / Procurement",1424,"0",NULL,"no email"
994,"Hood Ltd","Cote d'Ivoire",1972,"Machinery",640,"0",NULL,"no email"
995,"Curtis LLC","Finland",1975,"Philanthropy",36,"0",NULL,"no email"
996,"Bullock Group","Turkmenistan",1998,"Wine / Spirits",6547,"0",NULL,"no email"
997,"Mason Inc","United States of America",2015,"Law Enforcement",9723,"0",NULL,"no email"
998,"Houston and Sons","Kenya",1981,"Civic / Social Organization",5355,"0",NULL,"no email"
999,"Olson-Solomon","Cocos (Keeling) Islands",2013,"Investment Banking / Venture",3825,"0",NULL,"no email"
1000,"Maddox, Owen and Shepherd","Guinea",2019,"Animation",4467,"0",NULL,"no email"
24,"Ford, Patel and Singleton","Iraq",2020,"Defense / Space",7245,"0",NULL,"no email"
